student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,screen_time_hours,sleep_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,productivity_score,exam_score,burnout_level
1,23,Male,High School,2.26,2.1,3.09,2.31,1.21,7.98,7.16,2,35,1,1,Poor,4,23.6,75.58,22.47,4.782500000000001
2,17,Male,High School,1.54,0.53,0.75,1.18,0.69,9.12,4.74,93,37,1,0,Poor,3,33.22,52.73,47.04,5.64
3,17,Female,High School,1.72,3.73,1.5,5.24,1.02,10.56,7.99,2,146,0,1,Good,1,32.42,42.22,74.31,6.702500000000001
4,23,Other,College,8.44,1.31,1.58,3.12,1.37,10.24,6.95,48,184,1,1,Good,5,25.53,94.71,15.66,5.3525
5,21,Female,High School,7.68,0.39,0.17,5.63,3.69,7.49,8.27,6,198,1,1,Average,7,42.78,21.4,57.14,4.4625
6,21,Other,High School,2.59,0.86,1.67,5.29,1.86,5.47,6.72,27,115,0,1,Good,7,42.7,53.86,94.97,4.26
7,21,Female,College,6.0,0.81,0.05,2.61,0.13,9.63,5.59,3,337,1,0,Poor,1,30.8,24.37,18.21,6.4125000000000005
8,18,Female,High School,5.72,3.56,0.14,5.87,0.69,6.36,7.4,40,178,0,0,Good,2,45.1,20.35,11.69,5.7075000000000005
9,17,Female,High School,4.75,1.85,3.25,1.03,2.56,10.9,8.86,96,266,1,1,Good,8,46.67,19.2,93.99,3.7675
10,20,Female,College,1.62,2.4,1.68,2.32,3.96,11.44,4.51,75,496,1,1,Poor,6,36.44,80.93,32.48,5.8125
11,23,Male,College,5.0,3.54,4.11,5.71,2.08,7.58,4.95,41,225,1,0,Good,5,21.04,38.12,0.42,5.835
12,22,Other,College,8.78,3.89,0.33,2.16,1.46,7.97,4.37,63,10,0,1,Good,8,36.73,66.64,71.73,4.4399999999999995
13,23,Male,College,4.87,3.43,3.68,2.81,0.01,9.3,7.48,83,164,0,0,Average,5,23.51,45.37,73.4,4.907500000000001
14,18,Other,High School,3.4,1.62,4.38,3.26,1.87,8.17,8.45,40,269,0,1,Good,4,32.4,31.42,96.43,4.745
15,21,Female,College,3.62,2.5,1.64,2.63,1.21,11.22,7.16,41,312,1,1,Average,6,29.45,57.67,76.79,5.1725
16,18,Female,College,9.81,0.71,1.41,5.33,3.81,4.38,4.35,24,290,1,0,Good,3,47.07,38.41,27.13,5.59
17,21,Female,College,8.97,2.62,4.18,2.38,2.67,8.51,4.43,59,343,0,0,Good,7,21.51,37.82,87.06,4.865
18,17,Female,High School,8.37,2.15,0.79,4.39,1.42,8.14,5.83,29,111,0,1,Average,7,23.15,45.89,33.54,4.925
19,19,Other,High School,6.44,2.6,3.79,3.46,1.59,10.55,6.89,81,240,0,0,Poor,1,27.65,55.25,40.45,6.53
20,17,Female,College,2.34,3.82,4.61,1.29,1.27,11.72,6.16,71,427,1,0,Average,8,34.47,49.87,59.23,4.7125
21,19,Female,College,8.8,0.04,3.98,4.53,0.76,10.22,5.97,0,185,0,1,Average,9,29.22,41.29,68.77,4.945
22,17,Other,College,5.34,2.41,4.07,1.1,1.78,8.48,6.3,117,475,1,0,Good,2,31.24,15.68,79.11,5.32
23,24,Other,High School,9.74,4.79,3.12,2.72,0.03,10.18,8.86,30,197,0,0,Average,1,36.81,46.86,76.68,5.76
24,24,Male,High School,9.6,3.07,1.79,1.67,3.8,10.35,8.43,88,427,0,0,Poor,2,47.04,78.56,75.56,5.3975
25,18,Other,High School,2.47,0.87,2.19,5.45,1.0,7.43,4.87,96,306,0,1,Good,8,16.95,84.26,10.38,5.0024999999999995
26,20,Female,High School,7.2,1.19,2.68,5.91,3.55,10.5,4.23,72,443,0,1,Good,7,15.85,84.63,82.68,6.295
27,19,Other,High School,1.58,4.97,2.05,2.83,0.42,10.68,5.07,79,2,1,0,Good,9,48.8,14.07,52.09,4.859999999999999
28,20,Other,College,3.86,0.31,2.93,4.03,2.77,8.39,8.08,42,94,0,1,Good,1,35.97,92.54,97.72,5.835
29,18,Male,High School,7.33,0.62,2.56,4.89,3.18,5.78,5.44,111,197,0,0,Good,1,30.23,33.51,71.52,6.0575
30,20,Male,College,3.27,1.54,4.05,1.06,3.31,10.35,7.1,107,463,0,1,Good,1,37.18,12.12,32.56,5.827500000000001
